ID, A1, A2, A3, A4, A5, A6, A7, A8, A9, A11, A12, A13, A14, A15, H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14,Sex, Age,Class, school every day?, share phone with family?, electricity at home?, parents rules phone?, Main purpose of phone use
4,2,1,4,2,1,4,4,4,2,1,1,1,4,4,2,2,3,2,4,2,1,2,2,4,2,2,4,2,2,4,,6,1,5,6,1,2,2,4,0,Female,19,10,0,0,0,0,Communication
4,3,2,4,2,2,1,4,2,4,1,4,4,4,4,1,1,2,4,2,2,4,4,4,4,4,4,5,5,5,1,,2,3,3,2,1,5,2,6,0,Female,19,10,0,0,0,1,"School, Communication, Music"
4,2,4,4,2,4,4,4,2,2,4,2,4,4,4,3,2,2,2,4,2,2,2,2,3,2,4,2,4,3,5,,3,5,6,5,5,5,2,8,0,Female,18,10,0,0,1,0,Other
4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,3,2,3,4,3,1,4,4,2,1,1,2,3,1,0,Male,17,10,0,0,1,0,Music
2,4,4,4,4,4,4,4,4,4,4,4,1,2,3,4,1,2,2,4,4,1,3,3,4,4,3,3,4,6,5,3,5,3,5,2,7,7,6,10,0,Male,19,10,1,1,0,1,Other
4,4,1,,4,2,1,4,4,4,1,1,3,4,4,4,4,4,1,4,4,1,4,4,4,3,4,2,1,3,1,3,2,2,2,1,1,4,2,1,9,Male,16,10,0,0,0,0,Communication
1,2,4,1,1,4,4,1,1,4,4,4,1,4,1,1,1,2,1,4,2,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Male,16,10,1,1,1,1,Other
2,3,1,4,4,4,42,1,3,4,1,4,1,4,4,2,4,4,1,3,2,4,4,1,4,3,4,6,7,6,6,3,6,6,5,7,4,6,7,2,0,Male,15,10,1,1,0,0,Other
4,1,1,4,2,3,1,2,3,1,1,2,4,1,1,3,2,3,1,3,1,2,4,1,2,3,1,5,4,4,5,3,3,6,5,3,2,5,3,13,6,Male,16,10,0,0,0,0,Social Media
4,2,3,4,3,4,1,4,1,1,4,4,4,1,1,4,1,1,1,4,1,2,4,4,4,1,1,3,7,5,3,1,7,5,4,2,1,6,2,1,0,Male,17,10,0,0,0,1,Communication
4,2,3,4,1,4,3,3,4,1,1,2,3,2,3,2,2,3,3,2,2,4,3,2,4,2,2,4,6,6,2,2,1,2,4,4,2,6,5,0,5,Female,17,10,0,0,1,0,Communication
4,1,1,2,1,1,2,3,1,1,1,2,3,1,1,2,3,3,2,4,1,4,4,3,4,1,1,4,6,4,6,2,3,3,1,1,2,5,1,2,4,Female,17,10,0,0,0,0,Communication
4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,0,Male,16,10,1,1,1,1,Other
3,2,1,4,3,4,4,,2,3,1,3,2,3,4,1,3,4,2,4,1,3,4,3,4,2,3,3,2,2,,1,3,1,2,2,2,3,1,0,5,Male,15,10,0,0,1,0,School
4,2,2,4,1,1,1,4,4,4,1,1,1,1,1,4,4,4,3,4,4,1,4,1,4,3,4,3,6,3,3,7,7,3,3,3,1,1,1,0,0,Male,14,10,0,0,0,1,School
4,4,4,4,4,3,1,4,2,4,1,1,3,2,2,2,2,4,3,3,3,4,2,4,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Male,14,10,0,1,0,0,
4,1,2,4,2,1,1,1,2,4,2,3,3,3,2,3,2,4,1,4,2,4,4,3,4,2,2,5,2,2,4,4,5,2,5,2,2,2,2,1,3,Male,16,10,0,1,0,1,Communication
3,1,2,3,1,3,1,4,1,3,1,1,1,3,2,2,1,3,1,3,4,2,3,3,1,1,3,2,1,2,1,2,5,1,3,1,1,4,2,14,0,Female,14,10,0,0,1,0,Communication
4,4,3,4,4,3,2,4,3,3,1,4,4,4,1,3,3,4,1,4,4,4,3,4,4,4,3,2,3,3,1,2,1,3,4,4,6,2,1,0,0,Female,17,10,0,1,0,0,Communication
4,4,4,4,4,4,4,4,4,4,4,,2,3,1,4,4,2,3,4,4,4,4,4,4,4,4,3,1,1,5,6,2,1,5,4,1,1,1,0,1,Male,16,10,0,0,0,0,Communication
4,4,2,4,2,3,2,4,2,4,1,2,1,1,2,2,2,1,1,4,2,4,2,2,2,3,2,7,7,6,2,2,1,4,3,3,4,2,1,0,4,Female,15,10,0,1,0,0,Other
4,2,3,4,2,4,1,2,4,2,1,2,2,2,3,2,3,2,1,4,2,4,3,1,4,2,2,4,3,6,1,3,2,2,2,3,6,7,1,1,6,Female,13,10,0,0,0,0,Other
4,3,4,3,2,1,3,4,2,4,3,2,1,1,3,3,4,2,1,4,2,4,2,2,4,3,3,4,6,6,1,7,1,3,4,5,1,3,3,1,0,Female,18,10,0,0,0,0,Music
4,4,4,4,4,4,2,1,4,4,1,4,4,4,4,1,4,1,1,4,4,1,4,1,1,4,1,7,6,7,7,4,4,4,4,4,2,4,5,3,0,Female,17,10,0,0,0,1,Music
